"Nodo,Precio_Final"
"B001",30.0000
"B002",30.0000
"B003",2000.0000
"B004",1981.4444
"B005",30.0000
"B006",30.0000
"B007",1556.0082
"B008",2000.0000
"B009",30.0000
"B010",30.0000
"B011",30.0000
"B012",80.9606
"B013",30.0000
"B014",30.0000
"B015",2000.0000
"B016",2000.0000
"B017",30.0000
"B018",1057.2005
"B019",30.0000
"B020",2000.0000
"B021",1818.3556
"B022",30.0000
"B023",1545.3575
"B024",2000.0000
"B025",1585.3716
"B026",901.8039
"B027",1856.8164
"B028",833.9797
"B029",1880.3367
"B030",30.0000
"B031",37.5460
"B032",30.0000
"B033",30.0000
"B034",30.0000
"B035",30.0000
"B036",30.0000
"B037",30.0000
"B038",30.0000
"B039",1034.8433
